child_id_frame,x,y,th,qx,qy,qz,qw
start_point,0.003169014579120187,-0.0015097894329347671,0.0,0.0,0.0,-0.006738180626026783,0.9999772982032398
mid_point,-3.4436638300259403,0.10064666987997552,0.0,0.0,0.0,0.9923231547829406,0.12367197128545955
point,-1.186768537054725,2.871956342756382,0.0,0.0,0.0,0.6249512693952225,0.7806637630127964
deus,0.5318241415406467,4.742021068600629,0.0,0.0,0.0,-0.7900885513117094,0.6129927251494611
chill,0.5812602131959814,4.886826055987029,0.0,0.0,0.0,-0.7962997452059869,0.604902236551394
Test_Area_1,6.722656506843553,7.1572724323170736,0.0,0.0,0.0,0.15880184386467233,0.9873104751724152
Test_area_2,5.9251286075077285,-2.7920936179608598,0.0,0.0,0.0,0.36758815873116657,0.9299886803400516
Location ,-0.7684754223180466,3.342584857045337,0.0,0.0,0.0,-0.7672487037460354,0.6413496913541228
Show_video,1.771663135183467,-2.706572683259845,0.0,0.0,0.0,-0.9685939257110312,0.2486479581168788
