Time,origin,objective,distance,arrive,trajectory
1.41,"[1.2, -2.53]","[0.08, -3.78]",1.68,True,"[[0.08, -3.78], [0.08, -3.78], [0.08, -3.78]]"
10.26,"[-1.4, -3.42]","[0.08, -3.78]",1.52,True,"[[0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [0.08, -3.78], [-0.04, -3.55], [-0.23, -3.18], [-0.41, -2.81], [-0.6, -2.44], [-0.7, -2.22], [-0.7, -2.23], [-0.72, -1.96], [-0.77, -1.54]]"
10.69,"[-0.6, -2.88]","[-0.79, -1.28]",1.61,True,"[[-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.79, -1.28], [-0.8, -1.3], [-0.85, -1.63], [-0.87, -1.82], [-0.87, -1.83], [-0.8, -2.15], [-0.72, -2.56]]"
8.37,"[-0.15, -0.92]","[-0.68, -2.76]",1.91,True,"[[-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.68, -2.76], [-0.67, -2.71], [-0.56, -2.36], [-0.43, -1.96], [-0.3, -1.57]]"
