Time,origin,objective,distance,arrive,trajectory
8.88,"[-1.7, -3.92]","[-0.12, -2.11]",2.4,True,"[[-0.12, -2.11], [-0.12, -2.11], [-0.12, -2.11], [-0.14, -2.09], [-0.21, -2.07], [-0.36, -2.07], [-0.56, -2.09], [-0.82, -2.11], [-1.15, -2.19], [-1.46, -2.35], [-1.73, -2.47], [-1.88, -2.63], [-2.01, -2.76], [-2.02, -2.94], [-1.95, -3.18], [-1.83, -3.4], [-1.78, -3.59], [-1.77, -3.74]]"
10.18,"[-2.25, -2.22]","[-1.77, -3.75]",1.6,True,"[[-1.77, -3.75], [-1.77, -3.75], [-1.77, -3.75], [-1.77, -3.75], [-1.76, -3.75], [-1.76, -3.75], [-1.78, -3.74], [-1.78, -3.74], [-1.78, -3.74], [-1.77, -3.71], [-1.77, -3.71], [-1.77, -3.71], [-1.76, -3.69], [-1.74, -3.61], [-1.74, -3.46], [-1.78, -3.25], [-1.83, -2.97], [-1.89, -2.7], [-2.0, -2.52], [-2.1, -2.38], [-2.15, -2.32]]"
9.31,"[0.05, -1.53]","[-2.15, -2.32]",2.34,True,"[[-2.15, -2.32], [-2.15, -2.32], [-2.15, -2.32], [-2.14, -2.32], [-2.12, -2.31], [-2.11, -2.31], [-1.99, -2.29], [-1.83, -2.21], [-1.59, -2.15], [-1.25, -2.09], [-0.95, -2.07], [-0.67, -2.04], [-0.41, -2.04], [-0.19, -2.02], [-0.08, -1.95], [-0.0, -1.92], [0.07, -1.86], [0.12, -1.78], [0.13, -1.71]]"
8.06,"[-1.4, -2.62]","[0.13, -1.71]",1.78,True,"[[0.13, -1.71], [0.13, -1.71], [0.13, -1.71], [0.13, -1.71], [0.14, -1.71], [0.13, -1.72], [0.07, -1.79], [-0.1, -1.97], [-0.37, -2.11], [-0.67, -2.15], [-0.96, -2.14], [-1.17, -2.21], [-1.29, -2.29], [-1.39, -2.35], [-1.48, -2.4], [-1.55, -2.45], [-1.57, -2.47]]"
8.02,"[0.9, -2.33]","[-1.57, -2.47]",2.47,True,"[[-1.57, -2.47], [-1.57, -2.47], [-1.57, -2.47], [-1.58, -2.49], [-1.6, -2.52], [-1.59, -2.55], [-1.5, -2.44], [-1.29, -2.29], [-1.1, -2.14], [-0.88, -2.1], [-0.56, -2.08], [-0.24, -2.09], [0.07, -2.11], [0.33, -2.11], [0.52, -2.18], [0.66, -2.26], [0.7, -2.28]]"
8.48,"[-1.7, -2.53]","[0.7, -2.28]",2.41,True,"[[0.7, -2.28], [0.7, -2.28], [0.7, -2.28], [0.7, -2.28], [0.7, -2.29], [0.69, -2.3], [0.68, -2.32], [0.58, -2.32], [0.33, -2.27], [-0.03, -2.16], [-0.35, -2.1], [-0.65, -2.08], [-0.96, -2.09], [-1.19, -2.18], [-1.38, -2.27], [-1.54, -2.35], [-1.67, -2.39]]"
8.72,"[0.15, -2.38]","[-1.69, -2.4]",1.84,True,"[[-1.69, -2.4], [-1.69, -2.4], [-1.69, -2.4], [-1.69, -2.4], [-1.7, -2.41], [-1.69, -2.41], [-1.65, -2.4], [-1.46, -2.32], [-1.15, -2.24], [-0.88, -2.13], [-0.67, -2.07], [-0.46, -2.05], [-0.26, -2.08], [-0.09, -2.11], [0.06, -2.15], [0.17, -2.19], [0.25, -2.24], [0.25, -2.3]]"
12.71,"[2.7, -2.38]","[0.25, -2.3]",2.45,True,"[[0.25, -2.3], [0.25, -2.3], [0.25, -2.3], [0.26, -2.3], [0.28, -2.3], [0.34, -2.28], [0.52, -2.3], [0.72, -2.39], [0.92, -2.54], [1.13, -2.8], [1.3, -2.9], [1.46, -3.0], [1.62, -3.03], [1.79, -2.97], [2.01, -2.82], [2.11, -2.78], [2.11, -2.78], [2.13, -2.8], [2.22, -2.85], [2.36, -2.87], [2.52, -2.81], [2.67, -2.73], [2.78, -2.66], [2.84, -2.58], [2.86, -2.51], [2.84, -2.47]]"
7.38,"[0.65, -2.43]","[2.84, -2.47]",2.19,True,"[[2.84, -2.47], [2.84, -2.47], [2.84, -2.47], [2.84, -2.47], [2.83, -2.47], [2.75, -2.54], [2.59, -2.67], [2.39, -2.79], [2.11, -2.89], [1.75, -2.96], [1.47, -2.96], [1.24, -2.84], [1.03, -2.74], [0.87, -2.65], [0.77, -2.54]]"
7.7,"[-1.2, -1.83]","[0.77, -2.53]",2.09,True,"[[0.77, -2.53], [0.77, -2.53], [0.77, -2.53], [0.78, -2.5], [0.78, -2.41], [0.72, -2.3], [0.61, -2.2], [0.44, -2.13], [0.19, -2.09], [-0.13, -2.06], [-0.4, -2.02], [-0.63, -2.06], [-0.82, -2.08], [-1.0, -2.09], [-1.14, -2.07], [-1.21, -2.07]]"
13.37,"[-2.8, -2.78]","[-1.21, -2.07]",1.74,True,"[[-1.21, -2.07], [-1.21, -2.07], [-1.21, -2.07], [-1.22, -2.09], [-1.24, -2.14], [-1.32, -2.15], [-1.45, -2.19], [-1.63, -2.3], [-1.85, -2.51], [-1.98, -2.69], [-1.98, -2.69], [-1.98, -2.69], [-1.98, -2.71], [-1.98, -2.72], [-1.98, -2.72], [-1.98, -2.72], [-2.04, -2.73], [-2.17, -2.73], [-2.37, -2.72], [-2.55, -2.64], [-2.68, -2.58], [-2.81, -2.51], [-2.93, -2.49], [-3.02, -2.55], [-3.07, -2.63], [-3.07, -2.71], [-3.03, -2.78]]"
16.67,"[-1.15, -2.08]","[-3.03, -2.78]",2.01,True,"[[-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-3.03, -2.78], [-2.99, -2.81], [-2.85, -2.91], [-2.85, -2.91], [-2.85, -2.91], [-2.85, -2.91], [-2.83, -2.89], [-2.71, -2.74], [-2.65, -2.66], [-2.65, -2.66], [-2.65, -2.66], [-2.65, -2.66], [-2.64, -2.66], [-2.51, -2.58], [-2.32, -2.5], [-2.13, -2.53], [-1.95, -2.52], [-1.77, -2.42], [-1.59, -2.33], [-1.42, -2.25], [-1.35, -2.22]]"
10.78,"[0.4, -3.53]","[-1.35, -2.22]",2.19,True,"[[-1.35, -2.22], [-1.35, -2.22], [-1.35, -2.22], [-1.35, -2.22], [-1.3, -2.21], [-1.19, -2.17], [-1.02, -2.12], [-0.78, -2.1], [-0.45, -2.12], [-0.09, -2.15], [0.29, -2.14], [0.56, -2.23], [0.69, -2.33], [0.79, -2.43], [0.88, -2.56], [0.92, -2.71], [0.91, -2.9], [0.86, -3.1], [0.78, -3.27], [0.68, -3.45], [0.6, -3.59], [0.53, -3.62]]"
7.76,"[2.15, -2.68]","[0.53, -3.62]",1.87,True,"[[0.53, -3.62], [0.53, -3.62], [0.53, -3.62], [0.52, -3.63], [0.51, -3.63], [0.51, -3.63], [0.58, -3.52], [0.74, -3.36], [0.87, -3.2], [0.96, -3.09], [1.1, -3.01], [1.32, -2.95], [1.56, -2.96], [1.74, -2.96], [1.88, -2.91], [1.98, -2.87]]"
20.79,"[2.25, -0.58]","[1.98, -2.87]",2.31,True,"[[1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.98, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.87], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [1.99, -2.86], [2.02, -2.86], [2.04, -2.85], [2.01, -2.84], [1.81, -2.92], [1.64, -3.0], [1.52, -3.03], [1.46, -3.02]]"
7.79,"[1.45, -1.28]","[1.46, -3.02]",1.74,True,"[[1.46, -3.02], [1.46, -3.02], [1.46, -3.02], [1.45, -3.03], [1.38, -3.02], [1.27, -2.95], [1.11, -2.86], [1.0, -2.74], [0.91, -2.58], [0.85, -2.38], [0.82, -2.15], [0.84, -1.93], [0.91, -1.74], [1.07, -1.63], [1.24, -1.55], [1.34, -1.5]]"
12.25,"[0.45, 0.47]","[1.34, -1.5]",2.16,True,"[[1.34, -1.5], [1.34, -1.5], [1.34, -1.5], [1.35, -1.5], [1.39, -1.5], [1.42, -1.48], [1.42, -1.44], [1.42, -1.44], [1.42, -1.44], [1.4, -1.51], [1.31, -1.62], [1.17, -1.71], [0.97, -1.76], [0.7, -1.76], [0.38, -1.71], [0.13, -1.67], [0.01, -1.55], [-0.05, -1.33], [-0.02, -1.01], [0.05, -0.68], [0.1, -0.39], [0.13, -0.16], [0.18, 0.02], [0.25, 0.17], [0.3, 0.28]]"
7.83,"[-1.65, 0.47]","[0.3, 0.28]",1.96,True,"[[0.3, 0.28], [0.3, 0.28], [0.3, 0.28], [0.3, 0.28], [0.3, 0.28], [0.27, 0.31], [0.18, 0.4], [0.02, 0.52], [-0.23, 0.6], [-0.46, 0.71], [-0.67, 0.76], [-0.92, 0.81], [-1.16, 0.81], [-1.35, 0.74], [-1.49, 0.63], [-1.58, 0.55]]"
